SQLDate,Actor1Code,Actor2Code,QuadClass,GoldsteinScale,NumMentions,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,Location
20070110,CHN,CHNCOP,4,-10,4,39.1436,75.9292,,"Kizilsu, Xinjiang, China"
20070318,CHN,CHNUIG,1,1.9,9,44.1256,80.4144,,"Ili, Xinjiang, China"
20070318,CHNUIG,CHN,1,2.8,9,44.1256,80.4144,,"Ili, Xinjiang, China"
20070403,CHN,CHNCOP,1,7,4,43.9667,87.7,,"Midong, Urumqi, Xinjiang, China, 831407"
20070403,CHN,CHNCOP,4,-5,4,43.9667,87.7,,"Midong, Urumqi, Xinjiang, China, 831407"
20070403,CHNCOP,CHN,1,7,5,43.9667,87.7,,"Midong, Urumqi, Xinjiang, China, 831407"
20070403,CHNCOP,CHN,4,-5,5,43.9667,87.7,,"Midong, Urumqi, Xinjiang, China, 831407"
20070416,CHNLEG,CHN,1,3.4,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20070513,CHN,CHNBUS,1,4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20070514,CHN,CHNBUS,1,4,10,39.3914,76.04,,"Kashgar, Xinjiang, China"
20070627,CHNUIG,CHN,1,2.8,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20070703,CHNGOV,CHN,4,-4,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20070817,CHNCVL,CHN,2,10,9,45.6004,84.8601,,"Karamay, Xinjiang, China"
20070820,CHN,CHNGOV,2,-2,2,44.3,86.0333,,"Shihezi, Xinjiang, China"
20070820,CHNGOV,CHN,2,-2,5,44.3,86.0333,,"Shihezi, Xinjiang, China"
20070903,CHNUIG,CHN,4,-10,9,44.1167,86.95,,"Changji, Xinjiang, China"
20071018,CHN,CHNMIL,4,-10,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20071101,CHN,CHNUIG,1,4,8,41.1231,80.2644,,"Aksu, Xinjiang, China"
20071112,CHN,CHNUIG,2,5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20071206,CHNUIG,CHN,4,-10,9,41,84,,"Xinjiang, China"
20071208,CHN,CHNUIG,1,2.8,3,45.6004,84.8601,,"Karamay, Xinjiang, China"
20071212,CHN,CHNGOV,1,4,14,36.4981,81.9206,,"Xinjiang, China"
20071212,CHNGOV,CHN,1,4,14,36.4981,81.9206,,"Xinjiang, China"
20080128,CHN,CHNGOV,1,3,9,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080225,CHN,CHNUIG,1,7,3,44.1256,80.4144,,"Ili, Xinjiang, China"
20080225,CHNUIG,CHN,1,7,3,44.1256,80.4144,,"Ili, Xinjiang, China"
20080307,CHN,CHNMIL,3,-4.4,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080307,CHNMIL,CHN,3,-4.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080327,CHNGOV,CHN,4,-9.2,12,42.9333,89.1667,,"Turpan, Xinjiang, China"
20080410,CHN,CHNGOV,1,3.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080415,CHNLEG,CHN,1,3.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080417,CHN,CHNGOV,2,7.4,1,44.3,86.0333,,"Shihezi, Xinjiang, China"
20080417,CHN,CHNGOV,2,7.4,4,44.3,86.0333,,"Shihezi, Xinjiang, China"
20080417,CHNGOV,CHN,2,7.4,5,44.3,86.0333,,"Shihezi, Xinjiang, China"
20080419,CHN,CHNGOV,2,7.4,2,44.3,86.0333,,"Shihezi, Xinjiang, China"
20080419,CHNGOV,CHN,2,7.4,5,44.3,86.0333,,"Shihezi, Xinjiang, China"
20080427,CHN,CHNGOV,1,0,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080427,CHNGOV,CHN,1,0,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080428,CHN,CHNGOV,1,0,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080428,CHNGOV,CHN,1,0,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080513,CHN,CHNGOV,1,1.9,4,39.7786,78.575,,"Kashgar, Xinjiang, China"
20080513,CHNGOV,CHNGOV,1,1.9,5,39.7786,78.575,,"Kashgar, Xinjiang, China"
20080522,CHN,CHNLEG,2,7,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20080707,CHN,CHNGOV,3,-6.5,1,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080707,CHNGOV,NGOCHNUIGHRI,3,-6.5,2,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080708,CHN,CHNMED,1,-2,2,40.4433,79.0411,,"Aksu, Xinjiang, China"
20080708,CHNGOV,CHN,3,-2,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20080708,CHNGOV,CHN,3,-2,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20080708,CHNMED,CHN,1,-2,5,40.4433,79.0411,,"Aksu, Xinjiang, China"
20080709,CHN,CHNCOP,4,-9.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20080709,CHN,CHNCOP,4,-9.5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20080709,CHNGOV,CHN,3,-2,14,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080709,CHNGOV,CHN,3,-6.5,8,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080709,CHNGOV,NGOCHNUIGHRI,3,-2,4,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080709,CHNGOV,NGOCHNUIGHRI,3,-6.5,4,37.0997,79.9269,,"Hetian, Xinjiang, China"
20080712,CHNCOP,CHN,3,-2,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080721,CHN,CHNGOV,1,7,1,39.25,88.8333,,"Bayingol, Xinjiang, China"
20080721,CHNGOV,CHN,1,7,1,39.25,88.8333,,"Bayingol, Xinjiang, China"
20080807,CHNMED,CHN,4,-10,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080808,CHN,CHNGOV,1,2.8,30,43.8811,81.2458,,"Ili, Xinjiang, China"
20080810,CHN,CHNCOP,4,-10,7,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080810,CHNUIG,CHN,4,-9.5,5,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080812,CHN,CHNBUS,4,-10,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080812,CHN,CHNBUS,4,-10,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080812,NGOCHNUIGHRI,CHNGOV,1,0,3,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080814,CHN,CHNGOVMED,4,-10,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080817,CHN,CHNCVL,1,-0.4,2,42.3164,86.3828,,"Bayingol, Xinjiang, China"
20080818,CHN,CHNGOV,1,0,1,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080818,CHNGOV,CHN,1,0,1,41.7278,82.9364,,"Aksu, Xinjiang, China"
20080823,CHN,CHNCOP,2,7,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080824,CHN,CHNGOV,1,0,10,37.0094,81.2647,,"Hetian, Xinjiang, China"
20080824,CHNGOV,CHN,1,0,25,37.0094,81.2647,,"Hetian, Xinjiang, China"
20080824,CHNGOV,CHN,3,-7,7,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080829,CHN,CHNCOP,4,-5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080829,CHNCOP,CHN,4,-5,12,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080829,CHNCOP,CHN,4,-5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080830,CHNGOV,CHN,3,-2,10,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080909,CHN,CHNBUS,3,-5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080916,CHN,CHNCOP,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080916,CHNCOP,CHN,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20080921,CHN,CHNCOP,1,1.9,3,45.6004,84.8601,,"Karamay, Xinjiang, China"
20080922,CHN,CHNCOP,1,1.9,6,45.6004,84.8601,,"Karamay, Xinjiang, China"
20081007,CHNGOV,CHN,2,7.4,9,39.6919,75.1933,,"Kizilsu, Xinjiang, China"
20081119,CHNHLH,CHN,2,7,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20081203,CHN,CHNUIG,1,2.8,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20081203,CHNUIG,CHN,1,1.9,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20081217,CHNCVL,CHN,4,-5,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20081221,CHN,CHNUIG,1,3.4,4,42.8,93.45,,"Kumul, Xinjiang, China"
20081229,CHN,CHNGOV,1,1.9,13,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHN,CHNGOV,1,1.9,9,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHN,CHNGOV,1,1.9,4,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHN,CHNGOV,1,2.8,65,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHNGOV,CHN,1,1.9,41,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHNGOV,CHN,1,1.9,24,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHNGOV,CHN,1,2.8,13,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20081229,CHNGOV,CHN,1,2.8,13,39.4883,76.7125,,"Payzawat, Kashgar, Xinjiang, China"
20090209,CHN,CHNCOP,1,1.9,2,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20090209,CHN,CHNCOP,1,3.4,4,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20090209,CHN,CHNCOP,2,7,4,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20090209,CHNCOP,CHN,1,2.8,2,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20090325,CHNGOV,CHN,1,2.5,15,42.7833,94.6,,"Kumul, Xinjiang, China"
20090325,CHNGOV,CHNGOV,1,2.5,12,42.7833,94.6,,"Kumul, Xinjiang, China"
20090402,CHNUIG,CHN,4,-5,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090409,CHN,CHNCOP,4,-10,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090409,CHNCOP,CHN,4,-10,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090409,CHNCVL,CHN,4,-7,10,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090409,CHNCVL,CHN,4,-5,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090409,CHNUIG,CHN,4,-10,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090410,CHN,CHNCOP,4,-10,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090410,CHNCOP,CHN,4,-10,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090415,CHN,CHNCVL,1,0,2,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090415,CHN,CHNSEP,3,-2,2,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090417,CHNCOP,CHN,2,7.4,6,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090417,CHNCOP,CHN,4,-4,6,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090424,CHN,CHNGOV,3,-6.5,4,37.1642,78.4094,,"Hetian, Xinjiang, China"
20090428,CHNGOV,CHN,2,7,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090501,CHN,CHNGOV,4,-10,7,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090501,CHNGOV,CHN,4,-10,2,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090512,CHNMED,CHNREL,1,2.8,2,37.1642,78.4094,,"Hetian, Xinjiang, China"
20090512,CHNREL,CHNMED,1,1.9,2,37.1642,78.4094,,"Hetian, Xinjiang, China"
20090521,CHN,CHNGOV,1,4,7,37.6133,78.27,,"Hetian, Xinjiang, China"
20090521,CHN,CHNGOV,1,1,7,37.6133,78.27,,"Hetian, Xinjiang, China"
20090521,CHNGOV,CHN,1,1,7,37.6133,78.27,,"Hetian, Xinjiang, China"
20090528,CHN,CHNCVL,2,7.4,1,36.4667,81.9667,,"Xinjiang, China"
20090528,CHN,CHNCVL,2,7.4,2,37.4,85.3333,,"Xinjiang, China"
20090529,CHN,CHNCVL,2,7.4,2,37.4,85.3333,,"Xinjiang, China"
20090603,CHN,CHNCOP,4,-5,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090621,CHN,CHNUIG,1,2.8,27,44.3,86.0333,,"Shihezi, Xinjiang, China"
20090706,CHN,CHNCVL,3,-2,2,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090706,CHN,CHNEDU,4,-9.5,5,41.7597,86.1469,,"Korla, Bayingol, Xinjiang, China"
20090706,CHN,CHNEDU,4,-9.5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,CHNGOV,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,CHNGOV,3,-2,22,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090706,CHN,CHNGOVMED,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,CHNLAB,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,NGOCHNUIGHRI,3,-2,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,NGOCHNUIGHRI,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,NGOCHNUIGHRI,3,-6.5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHNCOP,CHN,4,-10,2,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090706,CHNGOV,CHN,3,-2,25,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090706,CHNGOV,CHN,4,-10,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090706,CHNGOVMED,NGOCHNUIGHRI,3,-2,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHNOPP,CHN,1,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHNOPP,CHN,3,-7.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHNUIG,CHN,3,-7.5,9,42.9333,89.1667,,"Turpan, Xinjiang, China"
20090706,MNCCHNBUS,CHN,1,0.4,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,NGOCHNUIGHRI,CHN,1,0,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090706,CHN,CHNCOP,1,2.8,10,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090706,CHN,CHNCVL,3,-2,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090706,CHNCOP,CHN,1,1.9,10,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090707,CHN,CHNCOP,1,2.8,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090707,CHN,CHNCOP,1,2.8,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090707,CHN,CHNCOP,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNCOP,3,-2,16,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNCOP,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNCOP,4,-9.5,18,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNCOP,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNEDU,1,-0.1,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20090707,CHN,CHNEDU,1,-0.1,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20090707,CHN,CHNGOV,1,-0.4,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNGOV,3,-2,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNGOV,3,-2,30,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNGOV,3,-2,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNGOV,4,-5,8,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNGOV,4,-5,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNLAB,3,-5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNMED,1,2.8,7,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090707,CHN,CHNMED,4,-10,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNOPP,4,-9,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,CHNSEP,1,3.4,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,NGOCHNUIGHRI,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHN,NGOCHNUIGHRI,3,-2,4,41.7278,82.9364,,"Aksu, Xinjiang, China"
20090707,CHNCOP,CHN,1,1.9,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090707,CHNCOP,CHN,1,1.9,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090707,CHNCOP,CHN,3,-2,31,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNCOP,CHN,4,-9,16,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNCOP,CHN,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNCOP,CHN,4,-10,3,43.8811,81.2458,,"Ili, Xinjiang, China"
20090707,CHNCOP,CHNOPP,4,-9,15,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNCOP,NGOCHNUIGHRI,1,0,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,CHN,1,3,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,CHN,3,-2,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,CHN,3,-2,13,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,CHN,3,-6.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,CHN,3,-7.5,4,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090707,CHNGOV,CHN,4,-5,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,CHNSEP,1,3.4,10,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,NGOCHNUIGHRI,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090707,CHNGOV,NGOCHNUIGHRI,3,-2,50,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
